name,international_designator,norad_id,launch_date,decay_date,country
STARLINK-31635,2024-073A,59511,1900-01-01 00:00:00,,USA
STARLINK-31650,2024-073B,59512,1900-01-01 00:00:00,,USA
STARLINK-31658,2024-073C,59513,1900-01-01 00:00:00,,USA
STARLINK-31664,2024-073D,59514,1900-01-01 00:00:00,,USA
STARLINK-31669,2024-073E,59515,1900-01-01 00:00:00,,USA
STARLINK-31671,2024-073F,59516,1900-01-01 00:00:00,,USA
STARLINK-31674,2024-073G,59517,1900-01-01 00:00:00,,USA
STARLINK-31672,2024-073H,59518,1900-01-01 00:00:00,,USA
STARLINK-31679,2024-073J,59519,1900-01-01 00:00:00,,USA
STARLINK-31370,2024-073K,59520,1900-01-01 00:00:00,,USA
STARLINK-31404,2024-073L,59521,1900-01-01 00:00:00,,USA
STARLINK-31453,2024-073M,59522,1900-01-01 00:00:00,,USA
STARLINK-31476,2024-073N,59523,1900-01-01 00:00:00,,USA
STARLINK-31376,2024-073P,59524,1900-01-01 00:00:00,,USA
STARLINK-31538,2024-073Q,59525,1900-01-01 00:00:00,,USA
STARLINK-31564,2024-073R,59526,1900-01-01 00:00:00,,USA
STARLINK-31452,2024-073S,59527,1900-01-01 00:00:00,,USA
STARLINK-31618,2024-073T,59528,1900-01-01 00:00:00,,USA
STARLINK-31513,2024-073U,59529,1900-01-01 00:00:00,,USA
STARLINK-31392,2024-073V,59530,1900-01-01 00:00:00,,USA
STARLINK-31619,2024-073W,59531,1900-01-01 00:00:00,,USA
STARLINK-31624,2024-073X,59532,1900-01-01 00:00:00,,USA
STARLINK-31509,2024-073Y,59533,1900-01-01 00:00:00,,USA
STARLINK-31734,2024-074A,59534,1900-01-01 00:00:00,,USA
STARLINK-31738,2024-074B,59535,1900-01-01 00:00:00,,USA
STARLINK-31721,2024-074C,59536,1900-01-01 00:00:00,,USA
STARLINK-31737,2024-074D,59537,1900-01-01 00:00:00,,USA
STARLINK-31725,2024-074E,59538,1900-01-01 00:00:00,,USA
STARLINK-31539,2024-074F,59539,1900-01-01 00:00:00,,USA
STARLINK-31397,2024-074G,59540,1900-01-01 00:00:00,,USA
STARLINK-31481,2024-074H,59541,1900-01-01 00:00:00,,USA
STARLINK-31540,2024-074J,59542,1900-01-01 00:00:00,,USA
STARLINK-31574,2024-074K,59543,1900-01-01 00:00:00,,USA
STARLINK-31556,2024-074L,59544,1900-01-01 00:00:00,,USA
STARLINK-31582,2024-074M,59545,1900-01-01 00:00:00,,USA
STARLINK-31519,2024-074N,59546,1900-01-01 00:00:00,,USA
STARLINK-31736,2024-074P,59547,1900-01-01 00:00:00,,USA
STARLINK-31675,2024-074Q,59548,1900-01-01 00:00:00,,USA
STARLINK-31722,2024-074R,59549,1900-01-01 00:00:00,,USA
